ticker,entry_ts,side,entry_c,fair_for_side,spread_c,baseline_c,btc_dist_signed_pct,btc_dist_abs_pct,session_age_s,btc_5m_move,btc_15m_move,aligned_with_btc5m,hour_utc,exit_reason,exit_c,fill_at_s,net_c
KXBTC15M-26MAR292000-00,1774828020,no,33,46,12,67,0.0628,0.0628,120,52.55,-102.98,0,23,TP,63,240,26.82
KXBTC15M-26MAR291945-45,1774827300,no,40,53,7,60,-0.0439,0.0439,300,-175.39,-272.13,1,23,TP,70,60,26.85
KXBTC15M-26MAR291845-45,1774823520,yes,38,68,30,47,0.1121,0.1121,120,20.93,71.00,1,22,SL,24,240,-17.44
KXBTC15M-26MAR291830-30,1774822620,yes,55,71,9,55,0.1383,0.1383,120,54.48,-57.87,1,22,TP,85,300,27.38
KXBTC15M-26MAR291800-00,1774821060,yes,71,89,9,71,0.1257,0.1257,360,36.67,-15.81,1,21,PRE_EXP,99,480,26.46
KXBTC15M-26MAR291745-45,1774819920,yes,63,78,10,63,0.0860,0.0860,120,7.72,87.86,1,21,SL,48,180,-19.08
KXBTC15M-26MAR291730-30,1774819020,yes,42,76,34,45,0.0958,0.0958,120,3.58,-65.36,1,21,TP,72,360,26.88
KXBTC15M-26MAR291715-15,1774818120,yes,57,78,21,61,0.1100,0.1100,120,22.60,-37.89,1,21,SL,42,120,-19.10
KXBTC15M-26MAR291700-00,1774817640,yes,15,55,40,38,0.0111,0.0111,540,-107.05,-107.05,0,20,TP,45,120,27.38
KXBTC15M-26MAR291645-45,1774816320,yes,51,83,32,51,0.1299,0.1299,120,0.00,227.69,0,20,SL,41,180,-14.12
KXBTC15M-26MAR291630-30,1774815420,yes,61,88,26,61,0.1336,0.1336,120,18.55,112.48,1,20,TP,91,120,27.76
KXBTC15M-26MAR291615-15,1774814520,yes,75,93,11,75,0.1463,0.1463,120,63.57,-14.65,1,20,PRE_EXP,100,720,23.69
KXBTC15M-26MAR291600-00,1774813620,yes,50,84,34,51,0.0863,0.0863,120,38.21,-33.90,1,19,SL,33,180,-20.92
KXBTC15M-26MAR291545-45,1774812720,yes,72,88,16,72,0.1091,0.1091,120,0.00,15.63,0,19,SL,62,240,-13.72
KXBTC15M-26MAR291530-30,1774811820,yes,48,72,24,48,0.0653,0.0653,120,-16.37,-6.07,0,19,TP,78,420,27.05
KXBTC15M-26MAR291515-15,1774810920,yes,36,76,40,39,0.0741,0.0741,120,-3.50,-69.27,0,19,TP,66,300,26.82
KXBTC15M-26MAR291500-00,1774810140,yes,38,88,24,38,0.1164,0.1164,240,-35.86,50.86,0,18,TP,68,360,26.83
KXBTC15M-26MAR291445-45,1774809120,yes,56,66,10,59,0.0501,0.0501,120,0.00,-31.69,0,18,TP,86,360,27.43
KXBTC15M-26MAR291430-30,1774808220,yes,59,77,15,59,0.0894,0.0894,120,10.70,32.09,1,18,SL,45,360,-18.12
KXBTC15M-26MAR291415-15,1774807320,yes,34,67,33,49,0.0666,0.0666,120,-18.90,7.11,0,18,SL,19,180,-18.08
KXBTC15M-26MAR291400-00,1774806420,yes,30,56,26,30,0.0228,0.0228,120,7.47,130.72,1,17,TP,60,240,26.85
KXBTC15M-26MAR291345-45,1774805520,yes,56,74,18,61,0.0771,0.0771,120,0.00,-169.25,0,17,TP,86,360,27.43
KXBTC15M-26MAR291330-30,1774804620,yes,24,64,40,30,0.0555,0.0555,120,-106.90,-99.76,0,17,SL,11,180,-15.24
KXBTC15M-26MAR291315-15,1774803720,yes,41,72,31,47,0.0935,0.0935,120,2.17,-17.83,1,17,SL,32,120,-12.83
KXBTC15M-26MAR291300-00,1774802820,yes,42,64,22,46,0.0655,0.0655,120,-30.24,-110.03,0,16,SL,22,360,-23.39
KXBTC15M-26MAR291245-45,1774801920,yes,41,73,31,41,0.1125,0.1125,120,32.98,183.51,1,16,SL,29,120,-15.71
KXBTC15M-26MAR291230-30,1774801020,yes,57,67,7,57,0.0794,0.0794,120,-84.01,-105.54,0,16,TP,87,120,27.49
KXBTC15M-26MAR291215-15,1774800120,yes,50,80,28,50,0.1362,0.1362,120,2.57,98.15,1,16,SL,38,120,-16.06
KXBTC15M-26MAR291200-00,1774799220,yes,51,69,17,51,0.0854,0.0854,120,97.25,69.45,1,15,SL,41,60,-14.12
KXBTC15M-26MAR291145-45,1774798320,yes,36,65,29,38,0.0657,0.0657,120,21.48,-223.86,1,15,SL,23,360,-16.35
KXBTC15M-26MAR291130-30,1774797840,no,25,38,32,75,0.0291,0.0291,540,-86.39,-141.75,1,15,TP,55,0,26.95
KXBTC15M-26MAR291115-15,1774797060,yes,76,96,16,76,0.1491,0.1491,660,-31.50,80.32,0,15,SL,63,120,-16.56
KXBTC15M-26MAR291100-00,1774795620,yes,28,62,33,28,0.0491,0.0491,120,0.00,-9.13,0,14,TP,58,660,26.88
KXBTC15M-26MAR291045-45,1774794720,yes,32,62,30,35,0.0511,0.0511,120,-133.52,-133.52,0,14,TP,62,240,26.83
KXBTC15M-26MAR291030-30,1774793820,yes,37,70,31,37,0.0815,0.0815,120,-54.86,184.52,0,14,SL,25,60,-15.47
