ticker,side,entry_c,fair_for_side,spread_c,baseline_c,mfe_c,mae_c,mfe_at_s,mae_at_s,final_bid_c,settled_yes,btc_dist_pct,closed_full,closed_half,closed_min,directional
KXBTC15M-26APR221345-45,no,49,57,8,49,87,35,720,540,87,0,0.0360,1,1,1,1
KXBTC15M-26APR221330-30,no,60,91,5,40,99,60,60,0,99,0,0.1067,1,1,1,1
KXBTC15M-26APR221300-00,yes,38,58,20,41,60,0,60,600,0,0,0.0298,1,1,1,1
KXBTC15M-26APR221245-45,yes,35,43,5,35,78,0,360,720,0,0,0.0415,1,1,1,1
KXBTC15M-26APR221230-30,no,58,72,3,42,100,58,480,0,98,0,0.1273,1,1,1,1
KXBTC15M-26APR221215-15,no,42,48,5,58,99,15,660,180,99,0,0.0138,1,1,1,1
KXBTC15M-26APR221200-00,no,48,55,0,52,54,2,0,600,2,1,0.0402,1,1,0,1
KXBTC15M-26APR221145-45,no,27,56,17,73,52,0,180,660,0,1,0.0457,0,1,1,1
KXBTC15M-26APR221130-30,no,47,56,7,53,74,2,480,600,2,1,0.0458,1,1,1,1
KXBTC15M-26APR221115-15,yes,24,36,12,31,59,0,600,720,0,0,0.1201,1,1,1,1
KXBTC15M-26APR221030-30,no,50,68,13,50,84,5,180,720,5,1,0.1457,1,1,1,1
KXBTC15M-26APR221015-15,no,36,64,28,52,69,0,60,540,0,1,0.0988,1,1,1,1
KXBTC15M-26APR221000-00,no,34,63,29,60,48,0,60,660,0,1,0.0961,0,1,1,1
KXBTC15M-26APR220945-45,no,39,61,22,60,74,0,180,600,0,1,0.0687,1,1,1,1
KXBTC15M-26APR220930-30,no,35,56,16,65,41,0,60,660,0,1,0.0310,0,0,0,1
KXBTC15M-26APR220915-15,no,60,74,12,40,61,0,0,720,0,1,0.1225,0,0,0,1
KXBTC15M-26APR220900-00,no,22,35,13,72,54,1,180,660,1,1,0.0669,1,1,1,1
KXBTC15M-26APR220845-45,no,60,68,8,39,66,20,60,600,24,1,0.0967,0,1,0,1
KXBTC15M-26APR220830-30,yes,53,61,3,53,58,0,0,660,0,0,0.0518,0,1,0,1
KXBTC15M-26APR220815-15,yes,48,58,7,48,100,32,720,240,100,1,0.0392,1,1,1,1
KXBTC15M-26APR220800-00,no,22,34,12,72,38,0,60,720,0,1,0.0865,1,1,1,1
KXBTC15M-26APR220745-45,no,42,56,2,58,100,32,600,60,100,0,0.0229,1,1,1,1
KXBTC15M-26APR220730-30,yes,55,74,10,55,100,55,300,0,100,1,0.0794,1,1,1,1
KXBTC15M-26APR220715-15,yes,59,87,25,59,92,26,660,540,80,1,0.1170,1,1,1,1
KXBTC15M-26APR220700-00,no,59,66,6,41,86,5,600,720,5,1,0.0457,1,1,1,1
KXBTC15M-26APR220645-45,yes,56,63,7,58,100,55,720,0,100,1,0.0390,1,1,1,1
KXBTC15M-26APR220630-30,no,55,78,22,45,82,3,540,720,3,1,0.0952,1,1,1,1
KXBTC15M-26APR220615-15,no,41,69,27,59,89,34,480,600,54,1,0.0681,1,1,1,1
KXBTC15M-26APR220600-00,yes,35,45,10,35,38,0,240,600,0,0,0.0189,0,0,0,1
KXBTC15M-26APR220545-45,no,54,73,19,39,89,21,300,540,54,1,0.0714,1,1,1,1
