ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR032130-30,BB_PURE_MEANREV,T600,no,32,66858.53,66868.56,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR032115-15,BB_PURE_MEANREV,T600,no,12,66897.14,66888.84,0,1,88.0,1.48,86.52
KXBTC15M-26APR032045-45,BB_PURE_MEANREV,T600,no,39,66920.31,66941.74,0,1,61.0,3.33,57.67
KXBTC15M-26APR031745-45,BB_PURE_MEANREV,T600,no,44,66902.01,66903.96,1,0,-44.0,3.45,-47.45
KXBTC15M-26APR031730-30,BB_PURE_MEANREV,T600,yes,47,66909.16,66898.32,1,1,53.0,3.49,49.51
KXBTC15M-26APR031500-00,BB_PURE_MEANREV,T600,yes,11,66836.88,66856.01,0,0,-11.0,1.37,-12.37
KXBTC15M-26APR031445-45,BB_PURE_MEANREV,T600,yes,22,66904.97,66884.42,0,0,-22.0,2.40,-24.40
KXBTC15M-26APR031345-45,BB_PURE_MEANREV,T600,no,35,66885.73,66878.12,1,0,-35.0,3.19,-38.19
KXBTC15M-26APR031200-00,BB_PURE_MEANREV,T600,yes,33,66863.20,66846.46,1,1,67.0,3.10,63.90
KXBTC15M-26APR031130-30,BB_PURE_MEANREV,T600,yes,20,66936.92,66956.38,0,0,-20.0,2.24,-22.24
KXBTC15M-26APR030830-30,BB_PURE_MEANREV,T600,yes,22,67011.26,66994.50,1,1,78.0,2.40,75.60
KXBTC15M-26APR030800-00,BB_PURE_MEANREV,T600,yes,43,67028.65,67010.70,0,0,-43.0,3.43,-46.43
KXBTC15M-26APR030500-00,BB_PURE_MEANREV,T600,no,38,66934.17,66935.78,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR030045-45,BB_PURE_MEANREV,T600,yes,39,66578.42,66560.88,1,1,61.0,3.33,57.67
KXBTC15M-26APR021815-15,BB_PURE_MEANREV,T600,no,55,66910.99,66931.18,0,1,45.0,3.46,41.53
KXBTC15M-26APR021745-45,BB_PURE_MEANREV,T600,yes,41,66846.22,66840.52,0,0,-41.0,3.39,-44.39
KXBTC15M-26APR021700-00,BB_PURE_MEANREV,T600,yes,15,67009.51,67009.61,0,0,-15.0,1.79,-16.79
KXBTC15M-26APR021530-30,BB_PURE_MEANREV,T600,yes,27,67068.38,67050.73,0,0,-27.0,2.76,-29.76
KXBTC15M-26APR021115-15,BB_PURE_MEANREV,T600,yes,19,66921.59,66897.11,0,0,-19.0,2.15,-21.15
KXBTC15M-26APR021100-00,BB_PURE_MEANREV,T600,yes,19,66952.70,66958.61,0,0,-19.0,2.15,-21.15
KXBTC15M-26APR020700-00,BB_PURE_MEANREV,T600,yes,38,66471.02,66468.29,0,0,-38.0,3.30,-41.30
KXBTC15M-26APR020545-45,BB_PURE_MEANREV,T600,yes,23,66456.50,66479.98,0,0,-23.0,2.48,-25.48
KXBTC15M-26APR020530-30,BB_PURE_MEANREV,T600,yes,30,66425.91,66415.89,1,1,70.0,2.94,67.06
KXBTC15M-26APR020200-00,BB_PURE_MEANREV,T600,yes,25,66574.87,66567.54,1,1,75.0,2.63,72.38
KXBTC15M-26APR020115-15,BB_PURE_MEANREV,T600,no,42,66331.08,66348.00,1,0,-42.0,3.41,-45.41
KXBTC15M-26APR020100-00,BB_PURE_MEANREV,T600,no,31,66282.77,66293.47,1,0,-31.0,2.99,-33.99
KXBTC15M-26APR012000-00,BB_PURE_MEANREV,T600,no,37,68101.42,68121.38,0,1,63.0,3.26,59.74
KXBTC15M-26APR011615-15,BB_PURE_MEANREV,T600,yes,10,68140.16,68156.35,0,0,-10.0,1.26,-11.26
KXBTC15M-26APR011345-45,BB_PURE_MEANREV,T600,yes,24,68487.25,68493.66,0,0,-24.0,2.55,-26.55
KXBTC15M-26APR011045-45,BB_PURE_MEANREV,T600,yes,22,68486.45,68486.52,0,0,-22.0,2.40,-24.40
KXBTC15M-26APR010915-15,BB_PURE_MEANREV,T600,yes,18,68337.17,68349.85,1,1,82.0,2.07,79.93
KXBTC15M-26APR010745-45,BB_PURE_MEANREV,T600,no,30,68563.93,68576.73,0,1,70.0,2.94,67.06
KXBTC15M-26APR010700-00,BB_PURE_MEANREV,T600,no,13,68524.80,68519.72,1,0,-13.0,1.58,-14.58
KXBTC15M-26APR010645-45,BB_PURE_MEANREV,T600,yes,18,68517.89,68504.15,1,1,82.0,2.07,79.93
KXBTC15M-26APR010630-30,BB_PURE_MEANREV,T600,no,31,68531.33,68552.67,0,1,69.0,2.99,66.01
KXBTC15M-26APR010530-30,BB_PURE_MEANREV,T600,yes,12,68485.62,68480.82,1,1,88.0,1.48,86.52
KXBTC15M-26APR010300-00,BB_PURE_MEANREV,T600,no,42,69090.31,69095.32,1,0,-42.0,3.41,-45.41
KXBTC15M-26APR010115-15,BB_PURE_MEANREV,T600,yes,13,68235.08,68247.86,1,1,87.0,1.58,85.42
KXBTC15M-26MAR312200-00,BB_PURE_MEANREV,T600,yes,22,67910.47,67893.31,0,0,-22.0,2.40,-24.40
KXBTC15M-26MAR311845-45,BB_PURE_MEANREV,T600,yes,14,68086.30,68086.25,1,1,86.0,1.69,84.31
KXBTC15M-26MAR311830-30,BB_PURE_MEANREV,T600,no,35,68124.22,68124.44,0,1,65.0,3.19,61.81
KXBTC15M-26MAR311730-30,BB_PURE_MEANREV,T600,yes,20,67959.65,67948.31,1,1,80.0,2.24,77.76
KXBTC15M-26MAR311530-30,BB_PURE_MEANREV,T600,yes,18,67976.78,67956.11,0,0,-18.0,2.07,-20.07
KXBTC15M-26MAR310515-15,BB_PURE_MEANREV,T600,yes,25,66759.20,66762.52,0,0,-25.0,2.63,-27.62
KXBTC15M-26MAR310230-30,BB_PURE_MEANREV,T600,yes,24,67435.73,67431.59,0,0,-24.0,2.55,-26.55
KXBTC15M-26MAR310015-15,BB_PURE_MEANREV,T600,yes,29,67676.00,67653.72,0,0,-29.0,2.88,-31.88
KXBTC15M-26MAR302330-30,BB_PURE_MEANREV,T600,yes,7,67882.21,67859.16,0,0,-7.0,0.91,-7.91
KXBTC15M-26MAR302315-15,BB_PURE_MEANREV,T600,yes,30,67938.70,67944.68,0,0,-30.0,2.94,-32.94
KXBTC15M-26MAR302215-15,BB_PURE_MEANREV,T600,yes,18,67900.02,67908.21,0,0,-18.0,2.07,-20.07
KXBTC15M-26MAR301800-00,BB_PURE_MEANREV,T600,yes,12,66877.66,66869.98,0,0,-12.0,1.48,-13.48
KXBTC15M-26MAR301700-00,BB_PURE_MEANREV,T600,yes,44,66617.74,66611.66,0,0,-44.0,3.45,-47.45
KXBTC15M-26MAR301645-45,BB_PURE_MEANREV,T600,yes,46,66634.39,66609.38,1,1,54.0,3.48,50.52
KXBTC15M-26MAR301315-15,BB_PURE_MEANREV,T600,yes,25,67295.15,67282.49,0,0,-25.0,2.63,-27.62
KXBTC15M-26MAR300615-15,BB_PURE_MEANREV,T600,yes,16,67470.48,67456.25,0,0,-16.0,1.88,-17.88
KXBTC15M-26MAR300530-30,BB_PURE_MEANREV,T600,yes,15,67560.97,67545.84,0,0,-15.0,1.79,-16.79
KXBTC15M-26MAR300300-00,BB_PURE_MEANREV,T600,yes,21,67345.83,67329.58,0,0,-21.0,2.32,-23.32
KXBTC15M-26MAR300045-45,BB_PURE_MEANREV,T600,no,36,67420.45,67439.22,0,1,64.0,3.23,60.77
KXBTC15M-26MAR291015-15,BB_PURE_MEANREV,T600,yes,9,66530.89,66524.84,1,1,91.0,1.15,89.85
KXBTC15M-26MAR290845-45,BB_PURE_MEANREV,T600,yes,18,66748.88,66736.78,0,0,-18.0,2.07,-20.07
KXBTC15M-26MAR290800-00,BB_PURE_MEANREV,T600,yes,10,66852.69,66850.96,0,0,-10.0,1.26,-11.26
KXBTC15M-26MAR290630-30,BB_PURE_MEANREV,T600,yes,7,66474.85,66465.91,0,0,-7.0,0.91,-7.91
