ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR170715-15,no,8,58,34.0,75330.65,75312.45,0.00024,1,0,-8.0,1.03,-9.03
KXBTC15M-26APR170345-45,no,48,24,28.0,74962.60,74979.54,0.00023,1,0,-48.0,3.49,-51.49
KXBTC15M-26APR170200-00,no,12,42,46.0,74656.70,74663.26,0.00009,0,1,88.0,1.48,86.52
KXBTC15M-26APR162315-15,yes,20,47,27.0,74704.69,74707.88,0.00004,1,1,80.0,2.24,77.76
KXBTC15M-26APR162045-45,no,10,60,30.0,75018.39,75006.51,0.00016,1,0,-10.0,1.26,-11.26
KXBTC15M-26APR161930-30,no,5,63,32.0,75015.00,74999.67,0.00020,1,0,-5.0,0.67,-5.67
KXBTC15M-26APR160715-15,no,16,62,22.0,74335.84,74323.22,0.00017,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR150815-15,yes,34,65,31.0,74231.47,74211.89,0.00026,1,1,66.0,3.14,62.86
KXBTC15M-26APR150015-15,no,10,38,52.0,74368.13,74378.32,0.00014,1,0,-10.0,1.26,-11.26
KXBTC15M-26APR142045-45,yes,34,43,9.0,74561.43,74576.82,0.00021,1,1,66.0,3.14,62.86
KXBTC15M-26APR142030-30,no,8,39,53.0,74540.66,74564.24,0.00032,1,0,-8.0,1.03,-9.03
KXBTC15M-26APR140745-45,no,12,56,32.0,74405.28,74400.83,0.00006,0,1,88.0,1.48,86.52
KXBTC15M-26APR140445-45,no,5,57,38.0,74653.90,74645.94,0.00011,1,0,-5.0,0.67,-5.67
KXBTC15M-26APR140415-15,no,12,44,44.0,74551.07,74556.72,0.00008,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR140245-45,no,32,30,38.0,74422.64,74445.25,0.00030,0,1,68.0,3.05,64.95
KXBTC15M-26APR132215-15,no,10,41,49.0,74404.14,74413.53,0.00013,1,0,-10.0,1.26,-11.26
KXBTC15M-26APR132200-00,no,6,53,41.0,74352.64,74348.45,0.00006,1,0,-6.0,0.79,-6.79
KXBTC15M-26APR132145-45,yes,30,44,14.0,74317.48,74326.19,0.00012,1,1,70.0,2.94,67.06
KXBTC15M-26APR132130-30,no,22,36,42.0,74272.20,74294.07,0.00029,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR131415-15,no,12,61,27.0,72214.09,72189.87,0.00034,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR131345-45,no,12,49,39.0,72451.55,72453.80,0.00003,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR130930-30,yes,28,49,21.0,71205.17,71206.80,0.00002,0,0,-28.0,2.82,-30.82
KXBTC15M-26APR130800-00,no,20,30,50.0,70930.03,70949.97,0.00028,0,1,80.0,2.24,77.76
KXBTC15M-26APR130730-30,no,28,51,21.0,70874.28,70873.09,0.00002,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR130615-15,no,8,74,18.0,70812.56,70804.40,0.00012,1,0,-8.0,1.03,-9.03
KXBTC15M-26APR130600-00,yes,42,61,19.0,70812.56,70796.15,0.00023,1,1,58.0,3.41,54.59
KXBTC15M-26APR130245-45,yes,13,51,38.0,71045.45,71044.73,0.00001,0,0,-13.0,1.58,-14.58
KXBTC15M-26APR122330-30,no,16,72,12.0,71083.78,71056.00,0.00039,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR122315-15,no,45,30,25.0,71046.01,71073.58,0.00039,0,1,55.0,3.47,51.53
KXBTC15M-26APR122130-30,yes,7,34,27.0,71148.40,71167.72,0.00027,1,1,93.0,0.91,92.09
KXBTC15M-26APR121445-45,no,12,50,38.0,71122.89,71122.91,0.00000,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR121315-15,no,43,40,17.0,70939.65,70948.06,0.00012,1,0,-43.0,3.43,-46.43
KXBTC15M-26APR121300-00,no,39,28,33.0,70877.53,70897.15,0.00028,1,0,-39.0,3.33,-42.33
KXBTC15M-26APR121200-00,no,20,29,51.0,70872.02,70899.30,0.00038,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR120830-30,no,20,34,46.0,71412.67,71422.96,0.00014,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR120630-30,yes,12,36,24.0,71649.39,71660.51,0.00016,0,0,-12.0,1.48,-13.48
KXBTC15M-26APR112100-00,no,36,42,22.0,73049.99,73060.19,0.00014,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR111800-00,no,7,37,56.0,73464.83,73475.39,0.00014,0,1,93.0,0.91,92.09
KXBTC15M-26APR111230-30,no,9,77,14.0,72919.89,72904.46,0.00021,1,0,-9.0,1.15,-10.15
KXBTC15M-26APR111030-30,no,6,8,86.0,72713.99,72739.14,0.00035,1,0,-6.0,0.79,-6.79
KXBTC15M-26APR111000-00,no,34,30,36.0,72683.56,72706.91,0.00032,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR110815-15,no,48,44,8.0,72928.61,72930.80,0.00003,0,1,52.0,3.49,48.51
KXBTC15M-26APR110430-30,yes,15,30,15.0,72796.99,72806.45,0.00013,0,0,-15.0,1.79,-16.79
KXBTC15M-26APR102245-45,no,22,33,45.0,73013.83,73028.57,0.00020,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR102030-30,no,22,40,38.0,72894.08,72902.82,0.00012,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR101730-30,no,7,49,44.0,73100.00,73100.90,0.00001,1,0,-7.0,0.91,-7.91
KXBTC15M-26APR101100-00,no,36,48,16.0,72882.47,72886.49,0.00006,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR100745-45,no,10,70,20.0,72215.02,72197.69,0.00024,1,0,-10.0,1.26,-11.26
KXBTC15M-26APR100345-45,yes,22,77,55.0,71756.78,71735.73,0.00029,0,0,-22.0,2.40,-24.40
KXBTC15M-26APR100015-15,no,5,72,23.0,71899.44,71882.58,0.00023,1,0,-5.0,0.67,-5.67
KXBTC15M-26APR092330-30,yes,8,54,46.0,71909.12,71904.90,0.00006,0,0,-8.0,1.03,-9.03
KXBTC15M-26APR091945-45,yes,28,56,28.0,71859.52,71843.63,0.00022,0,0,-28.0,2.82,-30.82
KXBTC15M-26APR091430-30,yes,18,40,22.0,71894.08,71913.87,0.00028,1,1,82.0,2.07,79.93
KXBTC15M-26APR091115-15,yes,30,55,25.0,71153.17,71145.57,0.00011,1,1,70.0,2.94,67.06
KXBTC15M-26APR090930-30,yes,51,69,18.0,71139.64,71116.01,0.00033,1,1,49.0,3.50,45.50
KXBTC15M-26APR090845-45,yes,32,43,11.0,71263.04,71270.98,0.00011,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR090800-00,yes,46,85,39.0,71198.92,71173.78,0.00035,0,0,-46.0,3.48,-49.48
KXBTC15M-26APR090530-30,yes,14,32,18.0,71305.54,71331.98,0.00037,0,0,-14.0,1.69,-15.69
KXBTC15M-26APR081400-00,no,5,61,34.0,71863.93,71845.26,0.00026,1,0,-5.0,0.67,-5.67
KXBTC15M-26APR080730-30,yes,46,61,15.0,71652.58,71643.84,0.00012,1,1,54.0,3.48,50.52
KXBTC15M-26APR080630-30,no,8,45,47.0,71604.03,71611.05,0.00010,1,0,-8.0,1.03,-9.03
KXBTC15M-26APR071700-00,yes,18,53,35.0,69315.79,69309.45,0.00009,1,1,82.0,2.07,79.93
KXBTC15M-26APR071515-15,yes,44,59,15.0,68438.73,68427.63,0.00016,1,1,56.0,3.45,52.55
KXBTC15M-26APR071415-15,yes,8,41,33.0,68673.63,68696.72,0.00034,0,0,-8.0,1.03,-9.03
KXBTC15M-26APR071245-45,yes,11,39,28.0,68344.29,68361.38,0.00025,0,0,-11.0,1.37,-12.37
KXBTC15M-26APR070845-45,yes,14,54,40.0,68407.78,68402.96,0.00007,0,0,-14.0,1.69,-15.69
KXBTC15M-26APR070400-00,yes,10,43,33.0,68658.30,68663.71,0.00008,0,0,-10.0,1.26,-11.26
KXBTC15M-26APR070300-00,no,6,72,22.0,68569.56,68545.84,0.00035,1,0,-6.0,0.79,-6.79
KXBTC15M-26APR070245-45,yes,7,39,32.0,68558.56,68569.19,0.00016,0,0,-7.0,0.91,-7.91
KXBTC15M-26APR070030-30,yes,9,39,30.0,68620.20,68634.26,0.00020,0,0,-9.0,1.15,-10.15
KXBTC15M-26APR070000-00,yes,11,57,46.0,68790.90,68777.73,0.00019,0,0,-11.0,1.37,-12.37
KXBTC15M-26APR062315-15,yes,37,65,28.0,68695.97,68670.00,0.00038,1,1,63.0,3.26,59.74
